Id,SalePrice
1461,129250.766
1462,129389.72
1463,199730.31
1464,202477.86
1465,216048.12
1466,190462.78
1467,166465.52
1468,149737.61
1469,203578.61
1470,131018.2
1471,197896.61
1472,111569.7
1473,85268.8
1474,127846.16
1475,97942.16
1476,368122.16
1477,208176.28
1478,325929.7
1479,329230.0
1480,376212.1
1481,353480.38
1482,176242.33
1483,188477.61
1484,179798.8
1485,195417.05
1486,178370.17
1487,336507.8
1488,259260.31
1489,181237.02
1490,292036.12
1491,215731.05
1492,89041.37
1493,137646.77
1494,319156.75
1495,307703.2
1496,257897.31
1497,159902.27
1498,186825.11
1499,180723.14
1500,149531.11
1501,137937.7
1502,164148.08
1503,394449.28
1504,214114.94
1505,168866.08
1506,183689.83
1507,233734.36
1508,142966.75
1509,176889.89
1510,135525.67
1511,166224.27
1512,186064.67
1513,138966.39
1514,113331.99
1515,182258.86
1516,140122.38
1517,183420.83
1518,115689.24
1519,167375.98
1520,142470.27
1521,156818.45
1522,162415.83
1523,82951.234
1524,108667.77
1525,85836.99
1526,124181.19
1527,114939.516
1528,116089.22
1529,139701.28
1530,224033.56
1531,127801.96
1532,101851.27
1533,132440.86
1534,83754.92
1535,100588.08
1536,89903.44
1537,50104.09
1538,170356.88
1539,168868.92
1540,103725.2
1541,155572.73
1542,159322.89
1543,216910.45
1544,72424.37
1545,107767.414
1546,160619.89
1547,94591.164
1548,102036.52
1549,129771.01
1550,150761.45
1551,90188.81
1552,134967.44
1553,152351.42
1554,106183.195
1555,193905.86
1556,79063.42
1557,132068.78
1558,119683.2
1559,59080.23
1560,95818.055
1561,143702.73
1562,94903.69
1563,132047.27
1564,144320.77
1565,170656.11
1566,300594.0
1567,81640.77
1568,244542.88
1569,148027.55
1570,143580.3
1571,119479.79
1572,136508.33
1573,206199.27
1574,114745.07
1575,241931.05
1576,286703.7
1577,138599.73
1578,140352.33
1579,148483.08
1580,207372.36
1581,140842.4
1582,95704.7
1583,323905.88
1584,209037.4
1585,156761.42
1586,89301.66
1587,101484.3
1588,136056.27
1589,107121.91
1590,157533.95
1591,67148.8
1592,127941.14
1593,146033.73
1594,143016.2
1595,130301.26
1596,224538.44
1597,199919.61
1598,198149.84
1599,118954.82
1600,144716.81
1601,71847.35
1602,109904.77
1603,73488.4
1604,264497.5
1605,257367.48
1606,146818.44
1607,174547.9
1608,163270.16
1609,130028.02
1610,144637.17
1611,147680.92
1612,165389.3
1613,153773.48
1614,105676.37
1615,100242.67
1616,82975.48
1617,96437.125
1618,142949.08
1619,156986.44
1620,184366.48
1621,141272.36
1622,156580.69
1623,277852.78
1624,186295.48
1625,130535.73
1626,153223.03
1627,205723.2
1628,254916.95
1629,168489.5
1630,383062.8
1631,249537.77
1632,137310.8
1633,185208.14
1634,210985.9
1635,184310.92
1636,171923.17
1637,220517.05
1638,171604.27
1639,175428.77
1640,268210.16
1641,204006.64
1642,284022.9
1643,239798.83
1644,227609.58
1645,217617.52
1646,115126.63
1647,114103.53
1648,127871.08
1649,168074.67
1650,126452.57
1651,109535.5
1652,80903.2
1653,92821.984
1654,102570.97
1655,135414.7
1656,138000.27
1657,106784.33
1658,155976.62
1659,110264.14
1660,175263.0
1661,278266.44
1662,430547.75
1663,420149.72
1664,524325.94
1665,280028.3
1666,359870.94
1667,397063.5
1668,414411.22
1669,128218.16
1670,350436.38
1671,238954.84
1672,392721.06
1673,321519.8
1674,279759.47
1675,109559.08
1676,180216.08
1677,201220.83
1678,569711.25
1679,460034.5
1680,318208.06
1681,278859.7
1682,348317.8
1683,178088.25
1684,161944.66
1685,175608.05
1686,123866.516
1687,173448.58
1688,195411.9
1689,212510.64
1690,215780.92
1691,209590.27
1692,143581.64
1693,183427.3
1694,189417.81
1695,184971.56
1696,284592.22
1697,152263.95
1698,242850.73
1699,413605.75
1700,299547.75
1701,295217.94
1702,259340.12
1703,132809.86
1704,235040.64
1705,184020.88
1706,290324.28
1707,192189.1
1708,185893.55
1709,295885.75
1710,249785.14
1711,241408.98
1712,272564.8
1713,304680.3
1714,166881.52
1715,195697.05
1716,205972.08
1717,169489.69
1718,155528.77
1719,242836.83
1720,259907.97
1721,179538.47
1722,106962.51
1723,167318.36
1724,157641.88
1725,210506.05
1726,164692.7
1727,174788.45
1728,165017.33
1729,152253.58
1730,167123.27
1731,128267.516
1732,128375.05
1733,57188.727
1734,96708.03
1735,129200.49
1736,121475.64
1737,446964.8
1738,262196.3
1739,264992.12
1740,195457.17
1741,204476.92
1742,131734.9
1743,136642.44
1744,346326.47
1745,194009.05
1746,160574.36
1747,237012.31
1748,247231.75
1749,159708.42
1750,112952.17
1751,204148.48
1752,114524.1
1753,146807.61
1754,176994.14
1755,152841.0
1756,154568.7
1757,142034.1
1758,164335.75
